5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed
2009/3/3 1:40,39,1,100
2009/3/3 1:45,60,1,100
2009/3/3 1:50,54,1,100
2009/3/3 1:55,72,1,100
2009/3/3 2:00,57,1,100
2009/3/3 2:05,45,1,100
2009/3/3 2:10,63,1,100
2009/3/3 2:15,65,1,100
2009/3/3 2:20,66,1,100
2009/3/3 2:25,67,1,100
2009/3/3 2:30,69,1,100
2009/3/3 2:35,54,1,100
2009/3/3 2:40,69,1,100
2009/3/3 2:45,63,1,100
2009/3/3 2:50,63,1,100
2009/3/3 2:55,48,1,100
2009/3/3 3:00,90,1,100
2009/3/3 3:05,69,1,100
2009/3/3 3:10,42,1,100
2009/3/3 3:15,57,1,100
2009/3/3 3:20,93,1,100
2009/3/3 3:25,81,1,100
2009/3/3 3:30,75,1,100
2009/3/3 3:35,84,1,100
2009/3/3 3:40,75,1,100
2009/3/3 3:45,108,1,100
2009/3/3 3:50,120,1,100
2009/3/3 3:55,81,1,100
2009/3/3 4:00,108,1,100
2009/3/3 4:05,114,1,100
2009/3/3 4:10,132,1,100
2009/3/3 4:15,153,1,100
2009/3/3 4:20,162,1,100
2009/3/3 4:25,177,1,100
2009/3/3 4:30,201,1,100
2009/3/3 4:35,174,1,100
2009/3/3 4:40,198,1,100
2009/3/3 4:45,240,1,100
2009/3/3 4:50,210,1,100
2009/3/3 4:55,237,1,100
2009/3/3 5:00,309,1,100
2009/3/3 5:05,360,1,100
2009/3/3 5:10,333,1,100
2009/3/3 5:15,384,1,100
2009/3/3 5:20,423,1,100
2009/3/3 5:25,489,1,100
2009/3/3 5:30,432,1,100
2009/3/3 5:35,459,1,100
2009/3/3 5:40,489,1,100
2009/3/3 5:45,456,1,100
2009/3/3 5:50,480,1,100
2009/3/3 5:55,477,1,100
2009/3/3 6:00,495,1,100
2009/3/3 6:05,477,1,100
2009/3/3 6:10,432,1,100
2009/3/3 6:15,480,1,100
2009/3/3 6:20,492,1,100
2009/3/3 6:25,399,1,100
2009/3/3 6:30,420,1,100
2009/3/3 6:35,429,1,100
2009/3/3 6:40,486,1,100
2009/3/3 6:45,489,1,100
2009/3/3 6:50,495,1,100
2009/3/3 6:55,411,1,100
2009/3/3 7:00,465,1,100
2009/3/3 7:05,471,1,100
2009/3/3 7:10,465,1,100
2009/3/3 7:15,477,1,100
2009/3/3 7:20,453,1,100
2009/3/3 7:25,513,1,100
2009/3/3 7:30,447,1,100
2009/3/3 7:35,450,1,100
2009/3/3 7:40,390,1,100
2009/3/3 7:45,405,1,100
2009/3/3 7:50,408,1,100
2009/3/3 7:55,402,1,100
2009/3/3 8:00,456,1,100
2009/3/3 8:05,435,1,100
2009/3/3 8:10,453,1,100
2009/3/3 8:15,435,1,100
2009/3/3 8:20,390,1,100
2009/3/3 8:25,318,1,100
2009/3/3 8:30,357,1,100
2009/3/3 8:35,408,1,100
2009/3/3 8:40,390,1,100
2009/3/3 8:45,354,1,100
2009/3/3 8:50,396,1,100
2009/3/3 8:55,384,1,100
2009/3/3 9:00,351,1,100
2009/3/3 9:05,393,1,100
2009/3/3 9:10,393,1,100
2009/3/3 9:15,372,1,100
2009/3/3 9:20,369,1,100
2009/3/3 9:25,384,1,100
2009/3/3 9:30,357,1,100
2009/3/3 9:35,360,1,100
2009/3/3 9:40,354,1,100
2009/3/3 9:45,348,1,100
2009/3/3 9:50,345,1,100
2009/3/3 9:55,321,1,100
2009/3/3 10:00,297,1,100
2009/3/3 10:05,315,1,100
2009/3/3 10:10,366,1,100
2009/3/3 10:15,345,1,100
2009/3/3 10:20,348,1,100
2009/3/3 10:25,360,1,100
2009/3/3 10:30,366,1,100
2009/3/3 10:35,315,1,100
2009/3/3 10:40,303,1,100
2009/3/3 10:45,366,1,100
2009/3/3 10:50,330,1,100
2009/3/3 10:55,330,1,100
2009/3/3 11:00,312,1,100
2009/3/3 11:05,339,1,100
2009/3/3 11:10,357,1,100
2009/3/3 11:15,339,1,100
2009/3/3 11:20,324,1,100
2009/3/3 11:25,312,1,100
2009/3/3 11:30,315,1,100
2009/3/3 11:35,306,1,100
2009/3/3 11:40,309,1,100
2009/3/3 11:45,312,1,100
2009/3/3 11:50,330,1,100
2009/3/3 11:55,309,1,100
2009/3/3 12:00,342,1,100
2009/3/3 12:05,303,1,100
2009/3/3 12:10,291,1,100
2009/3/3 12:15,348,1,100
2009/3/3 12:20,309,1,100
2009/3/3 12:25,348,1,100
2009/3/3 12:30,297,1,100
2009/3/3 12:35,348,1,100
2009/3/3 12:40,342,1,100
2009/3/3 12:45,315,1,100
2009/3/3 12:50,321,1,100
2009/3/3 12:55,321,1,100
2009/3/3 13:00,351,1,100
2009/3/3 13:05,315,1,100
2009/3/3 13:10,357,1,100
2009/3/3 13:15,303,1,100
2009/3/3 13:20,333,1,100
2009/3/3 13:25,357,1,100
2009/3/3 13:30,339,1,100
2009/3/3 13:35,372,1,100
2009/3/3 13:40,330,1,100
2009/3/3 13:45,315,1,100
2009/3/3 13:50,333,1,100
2009/3/3 13:55,324,1,100
2009/3/3 14:00,321,1,100
2009/3/3 14:05,330,1,100
2009/3/3 14:10,291,1,100
2009/3/3 14:15,375,1,100
2009/3/3 14:20,408,1,100
2009/3/3 14:25,390,1,100
2009/3/3 14:30,354,1,100
2009/3/3 14:35,360,1,100
2009/3/3 14:40,405,1,100
2009/3/3 14:45,321,1,100
2009/3/3 14:50,402,1,100
2009/3/3 14:55,357,1,100
2009/3/3 15:00,321,1,100
2009/3/3 15:05,276,1,100
2009/3/3 15:10,312,1,100
2009/3/3 15:15,285,1,100
2009/3/3 15:20,264,1,100
2009/3/3 15:25,348,1,100
2009/3/3 15:30,405,1,100
2009/3/3 15:35,432,1,100
2009/3/3 15:40,315,1,100
2009/3/3 15:45,399,1,100
2009/3/3 15:50,444,1,100
2009/3/3 15:55,426,1,100
2009/3/3 16:00,429,1,100
2009/3/3 16:05,366,1,100
2009/3/3 16:10,384,1,100
2009/3/3 16:15,375,1,100
2009/3/3 16:20,342,1,100
2009/3/3 16:25,324,1,100
2009/3/3 16:30,369,1,100
2009/3/3 16:35,384,1,100
2009/3/3 16:40,387,1,100
2009/3/3 16:45,357,1,100
2009/3/3 16:50,381,1,100
2009/3/3 16:55,324,1,100
2009/3/3 17:00,342,1,100
2009/3/3 17:05,345,1,100
2009/3/3 17:10,426,1,100
2009/3/3 17:15,381,1,100
2009/3/3 17:20,327,1,100
2009/3/3 17:25,351,1,100
2009/3/3 17:30,312,1,100
2009/3/3 17:35,312,1,100
2009/3/3 17:40,303,1,100
2009/3/3 17:45,309,1,100
2009/3/3 17:50,369,1,100
2009/3/3 17:55,312,1,100
2009/3/3 18:00,336,1,100
2009/3/3 18:05,312,1,100
2009/3/3 18:10,330,1,100
2009/3/3 18:15,333,1,100
2009/3/3 18:20,321,1,100
2009/3/3 18:25,312,1,100
2009/3/3 18:30,327,1,100
2009/3/3 18:35,273,1,100
2009/3/3 18:40,276,1,100
2009/3/3 18:45,273,1,100
2009/3/3 18:50,306,1,100
2009/3/3 18:55,276,1,100
2009/3/3 19:00,279,1,100
2009/3/3 19:05,273,1,100
2009/3/3 19:10,261,1,100
2009/3/3 19:15,246,1,100
2009/3/3 19:20,258,1,100
2009/3/3 19:25,225,1,100
2009/3/3 19:30,246,1,100
2009/3/3 19:35,222,1,100
2009/3/3 19:40,186,1,100
2009/3/3 19:45,210,1,100
2009/3/3 19:50,216,1,100
2009/3/3 19:55,183,1,100
2009/3/3 20:00,189,1,100
2009/3/3 20:05,198,1,100
2009/3/3 20:10,216,1,100
2009/3/3 20:15,195,1,100
2009/3/3 20:20,225,1,100
2009/3/3 20:25,177,1,100
2009/3/3 20:30,177,1,100
2009/3/3 20:35,222,1,100
2009/3/3 20:40,201,1,100
2009/3/3 20:45,210,1,100
2009/3/3 20:50,183,1,100
2009/3/3 20:55,225,1,100
2009/3/3 21:00,168,1,100
2009/3/3 21:05,177,1,100
2009/3/3 21:10,174,1,100
2009/3/3 21:15,237,1,100
2009/3/3 21:20,216,1,100
2009/3/3 21:25,201,1,100
2009/3/3 21:30,177,1,100
2009/3/3 21:35,186,1,100
2009/3/3 21:40,216,1,100
2009/3/3 21:45,198,1,100
2009/3/3 21:50,186,1,100
2009/3/3 21:55,171,1,100
2009/3/3 22:00,159,1,100
2009/3/3 22:05,162,1,100
2009/3/3 22:10,189,1,100
2009/3/3 22:15,195,1,100
2009/3/3 22:20,222,1,100
2009/3/3 22:25,210,1,100
2009/3/3 22:30,171,1,100
2009/3/3 22:35,171,1,100
2009/3/3 22:40,132,1,100
2009/3/3 22:45,135,1,100
2009/3/3 22:50,120,1,100
2009/3/3 22:55,126,1,100
2009/3/3 23:00,114,1,100
2009/3/3 23:05,138,1,100
2009/3/3 23:10,168,1,100
2009/3/3 23:15,150,1,100
2009/3/3 23:20,147,1,100
2009/3/3 23:25,135,1,100
2009/3/3 23:30,105,1,100
2009/3/3 23:35,120,1,100
2009/3/3 23:40,105,1,100
2009/3/3 23:45,57,1,100
2009/3/3 23:50,84,1,100
2009/3/3 23:55,90,1,100
2009/3/4 0:00,72,1,100
2009/3/4 0:05,78,1,100
2009/3/4 0:10,99,1,100
2009/3/4 0:15,114,1,100
2009/3/4 0:20,117,1,100
2009/3/4 0:25,81,1,100
2009/3/4 0:30,51,1,100
2009/3/4 0:35,75,1,100
2009/3/4 0:40,72,1,100
2009/3/4 0:45,84,1,100
2009/3/4 0:50,72,1,100
2009/3/4 0:55,69,1,100
2009/3/4 1:00,51,1,100
2009/3/4 1:05,39,1,100
2009/3/4 1:10,69,1,100
2009/3/4 1:15,78,1,100
2009/3/4 1:20,51,1,100
2009/3/4 1:25,60,1,100
2009/3/4 1:30,48,1,100
2009/3/4 1:35,42,1,100
2009/3/4 1:40,45,1,100
2009/3/4 1:45,96,1,100
2009/3/4 1:50,51,1,100
2009/3/4 1:55,63,1,100
2009/3/4 2:00,69,1,100
2009/3/4 2:05,30,1,100
2009/3/4 2:10,54,1,100
2009/3/4 2:15,58,1,100
2009/3/4 2:20,63,1,100
2009/3/4 2:25,67,1,100
2009/3/4 2:30,72,1,100
2009/3/4 2:35,60,1,100
2009/3/4 2:40,48,1,100
2009/3/4 2:45,60,1,100
2009/3/4 2:50,45,1,100
2009/3/4 2:55,66,1,100
2009/3/4 3:00,54,1,100
2009/3/4 3:05,54,1,100
2009/3/4 3:10,84,1,100
2009/3/4 3:15,78,1,100
2009/3/4 3:20,81,1,100
2009/3/4 3:25,69,1,100
2009/3/4 3:30,84,1,100
2009/3/4 3:35,69,1,100
2009/3/4 3:40,75,1,100
2009/3/4 3:45,99,1,100
2009/3/4 3:50,90,1,100
2009/3/4 3:55,93,1,100
2009/3/4 4:00,90,1,100
2009/3/4 4:05,120,1,100
2009/3/4 4:10,114,1,100
2009/3/4 4:15,165,1,100
2009/3/4 4:20,156,1,100
2009/3/4 4:25,168,1,100
2009/3/4 4:30,177,1,100
2009/3/4 4:35,195,1,100
2009/3/4 4:40,246,1,100
2009/3/4 4:45,249,1,100
2009/3/4 4:50,267,1,100
2009/3/4 4:55,204,1,100
2009/3/4 5:00,264,1,100
2009/3/4 5:05,324,1,100
2009/3/4 5:10,333,1,100
2009/3/4 5:15,375,1,100
2009/3/4 5:20,429,1,100
2009/3/4 5:25,417,1,100
2009/3/4 5:30,468,1,100
2009/3/4 5:35,408,1,100
2009/3/4 5:40,552,1,100
2009/3/4 5:45,459,1,100
2009/3/4 5:50,441,1,100
2009/3/4 5:55,540,1,100
2009/3/4 6:00,477,1,100
2009/3/4 6:05,498,1,100
2009/3/4 6:10,492,1,100
2009/3/4 6:15,495,1,100
2009/3/4 6:20,393,1,100
2009/3/4 6:25,393,1,100
2009/3/4 6:30,465,1,100
2009/3/4 6:35,471,1,100
2009/3/4 6:40,477,1,100
2009/3/4 6:45,456,1,100
2009/3/4 6:50,486,1,100
2009/3/4 6:55,414,1,100
2009/3/4 7:00,462,1,100
2009/3/4 7:05,369,1,100
2009/3/4 7:10,423,1,100
2009/3/4 7:15,453,1,100
2009/3/4 7:20,471,1,100
2009/3/4 7:25,432,1,100
2009/3/4 7:30,465,1,100
2009/3/4 7:35,486,1,100
2009/3/4 7:40,453,1,100
2009/3/4 7:45,456,1,100
2009/3/4 7:50,438,1,100
2009/3/4 7:55,369,1,100
2009/3/4 8:00,435,1,100
2009/3/4 8:05,354,1,100
2009/3/4 8:10,393,1,100
2009/3/4 8:15,375,1,100
2009/3/4 8:20,351,1,100
2009/3/4 8:25,372,1,100
2009/3/4 8:30,396,1,100
2009/3/4 8:35,336,1,100
2009/3/4 8:40,369,1,100
2009/3/4 8:45,375,1,100
2009/3/4 8:50,381,1,100
2009/3/4 8:55,318,1,100
2009/3/4 9:00,378,1,100
2009/3/4 9:05,354,1,100
2009/3/4 9:10,360,1,100
2009/3/4 9:15,402,1,100
2009/3/4 9:20,357,1,100
2009/3/4 9:25,363,1,100
2009/3/4 9:30,357,1,100
2009/3/4 9:35,363,1,100
2009/3/4 9:40,324,1,100
2009/3/4 9:45,309,1,100
2009/3/4 9:50,324,1,100
2009/3/4 9:55,351,1,100
2009/3/4 10:00,336,1,100
2009/3/4 10:05,318,1,100
2009/3/4 10:10,336,1,100
2009/3/4 10:15,360,1,100
2009/3/4 10:20,300,1,100
2009/3/4 10:25,330,1,100
2009/3/4 10:30,330,1,100
2009/3/4 10:35,345,1,100
2009/3/4 10:40,330,1,100
2009/3/4 10:45,279,1,100
2009/3/4 10:50,315,1,100
2009/3/4 10:55,327,1,100
2009/3/4 11:00,288,1,100
2009/3/4 11:05,324,1,100
2009/3/4 11:10,327,1,100
2009/3/4 11:15,330,1,100
2009/3/4 11:20,294,1,100
2009/3/4 11:25,315,1,100
2009/3/4 11:30,294,1,100
2009/3/4 11:35,351,1,100
2009/3/4 11:40,312,1,100
2009/3/4 11:45,315,1,100
2009/3/4 11:50,303,1,100
2009/3/4 11:55,285,1,100
2009/3/4 12:00,279,1,100
2009/3/4 12:05,312,1,100
2009/3/4 12:10,318,1,100
2009/3/4 12:15,336,1,100
2009/3/4 12:20,279,1,100
2009/3/4 12:25,324,1,100
2009/3/4 12:30,282,1,100
2009/3/4 12:35,339,1,100
2009/3/4 12:40,351,1,100
2009/3/4 12:45,324,1,100
2009/3/4 12:50,270,1,100
2009/3/4 12:55,327,1,100
2009/3/4 13:00,291,1,100
2009/3/4 13:05,321,1,100
2009/3/4 13:10,300,1,100
2009/3/4 13:15,354,1,100
2009/3/4 13:20,345,1,100
2009/3/4 13:25,285,1,100
2009/3/4 13:30,345,1,100
2009/3/4 13:35,321,1,100
2009/3/4 13:40,330,1,100
2009/3/4 13:45,306,1,100
2009/3/4 13:50,327,1,100
2009/3/4 13:55,324,1,100
2009/3/4 14:00,306,1,100
2009/3/4 14:05,342,1,100
2009/3/4 14:10,354,1,100
2009/3/4 14:15,369,1,100
2009/3/4 14:20,342,1,100
2009/3/4 14:25,354,1,100
2009/3/4 14:30,342,1,100
2009/3/4 14:35,348,1,100
2009/3/4 14:40,429,1,100
2009/3/4 14:45,381,1,100
2009/3/4 14:50,357,1,100
2009/3/4 14:55,357,1,100
2009/3/4 15:00,363,1,100
2009/3/4 15:05,336,1,100
2009/3/4 15:10,375,1,100
2009/3/4 15:15,375,1,100
2009/3/4 15:20,429,1,100
2009/3/4 15:25,366,1,100
2009/3/4 15:30,336,1,100
2009/3/4 15:35,399,1,100
2009/3/4 15:40,411,1,100
2009/3/4 15:45,414,1,100
2009/3/4 15:50,438,1,100
2009/3/4 15:55,330,1,100
2009/3/4 16:00,375,1,100
2009/3/4 16:05,303,1,100
2009/3/4 16:10,381,1,100
2009/3/4 16:15,366,1,100
2009/3/4 16:20,360,1,100
2009/3/4 16:25,345,1,100
2009/3/4 16:30,330,1,100
2009/3/4 16:35,366,1,100
2009/3/4 16:40,372,1,100
2009/3/4 16:45,411,1,100
2009/3/4 16:50,360,1,100
2009/3/4 16:55,375,1,100
2009/3/4 17:00,372,1,100
2009/3/4 17:05,408,1,100
2009/3/4 17:10,366,1,100
2009/3/4 17:15,411,1,100
2009/3/4 17:20,342,1,100
2009/3/4 17:25,375,1,100
2009/3/4 17:30,348,1,100
2009/3/4 17:35,306,1,100
2009/3/4 17:40,342,1,100
2009/3/4 17:45,327,1,100
2009/3/4 17:50,360,1,100
2009/3/4 17:55,324,1,100
2009/3/4 18:00,300,1,100
2009/3/4 18:05,309,1,100
2009/3/4 18:10,327,1,100
2009/3/4 18:15,312,1,100
2009/3/4 18:20,312,1,100
2009/3/4 18:25,342,1,100
2009/3/4 18:30,333,1,100
2009/3/4 18:35,315,1,100
2009/3/4 18:40,339,1,100
2009/3/4 18:45,306,1,100
2009/3/4 18:50,327,1,100
2009/3/4 18:55,240,1,100
2009/3/4 19:00,252,1,100
2009/3/4 19:05,291,1,100
2009/3/4 19:10,249,1,100
2009/3/4 19:15,312,1,100
2009/3/4 19:20,246,1,100
2009/3/4 19:25,237,1,100
2009/3/4 19:30,246,1,100
2009/3/4 19:35,237,1,100
2009/3/4 19:40,255,1,100
2009/3/4 19:45,252,1,100
2009/3/4 19:50,231,1,100
2009/3/4 19:55,219,1,100
2009/3/4 20:00,225,1,100
2009/3/4 20:05,228,1,100
